args,ppl_mean,ppl_std,exit_points_mean,exit_points_std
"{'ee_softmax_threshold': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",4.7698,2.123,15.0,0.0
"{'ee_softmax_threshold': [0.9976595044136047, 0.9958667755126953, 0.9944936633110046, 0.9934419393539429, 0.9926363229751587, 0.9920192956924438, 0.9915466904640198, 0.991184651851654, 0.9909074306488037, 0.9906949996948242, 0.9905323386192322, 0.9904077649116516, 0.9903123378753662, 0.9902392029762268, 0.9901832342147827]}",4.835,2.1972,12.8723,4.4156
"{'ee_softmax_threshold': [0.9953187704086304, 0.9917332530021667, 0.9889869689941406, 0.9868834614753723, 0.9852722883224487, 0.9840382933616638, 0.9830930829048157, 0.9823691248893738, 0.9818146228790283, 0.9813898801803589, 0.9810645580291748, 0.9808154106140137, 0.9806245565414429, 0.9804783463478088, 0.9803664088249207]}",4.9451,2.1981,12.385,4.7381
"{'ee_softmax_threshold': [0.992978036403656, 0.9875997304916382, 0.9834802150726318, 0.9803249835968018, 0.9779083132743835, 0.976057231426239, 0.9746394753456116, 0.9735535383224487, 0.9727217555046082, 0.9720847010612488, 0.9715967774391174, 0.971222996711731, 0.9709367752075195, 0.9707174897193909, 0.9705495834350586]}",4.919,2.1699,12.0201,4.9248
"{'ee_softmax_threshold': [0.9906373620033264, 0.9834661483764648, 0.9779735207557678, 0.9737665057182312, 0.9705442190170288, 0.9680761694908142, 0.9661858081817627, 0.9647378921508789, 0.963628888130188, 0.9627795219421387, 0.9621289372444153, 0.9616305828094482, 0.9612489342689514, 0.9609565734863281, 0.9607326984405518]}",4.9327,2.1867,11.7701,5.0618
"{'ee_softmax_threshold': [0.988296627998352, 0.9793326258659363, 0.9724668264389038, 0.9672080278396606, 0.9631801843643188, 0.9600951671600342, 0.9577322006225586, 0.9559223055839539, 0.9545360803604126, 0.9534743428230286, 0.9526610970497131, 0.9520382285118103, 0.9515611529350281, 0.9511957168579102, 0.9509158730506897]}",5.083,2.2152,11.5201,5.1661
"{'ee_softmax_threshold': [0.9859558939933777, 0.9751991033554077, 0.966960072517395, 0.9606496095657349, 0.9558161497116089, 0.9521141052246094, 0.9492785930633545, 0.9471067786216736, 0.9454432725906372, 0.9441691637039185, 0.9431933164596558, 0.9424458742141724, 0.9418733716011047, 0.9414348602294922, 0.9410989880561829]}",5.1192,2.1452,11.3266,5.2273
"{'ee_softmax_threshold': [0.9836151599884033, 0.9710655212402344, 0.961453378200531, 0.9540911316871643, 0.9484521746635437, 0.9441331028938293, 0.9408249855041504, 0.9382911920547485, 0.9363504648208618, 0.9348640441894531, 0.9337255358695984, 0.9328535199165344, 0.9321855902671814, 0.9316740036010742, 0.9312821626663208]}",5.3599,2.3058,11.1569,5.3243
"{'ee_softmax_threshold': [0.9812744855880737, 0.9669319987297058, 0.955946683883667, 0.9475326538085938, 0.9410881400108337, 0.9361520409584045, 0.9323713779449463, 0.9294756054878235, 0.9272576570510864, 0.925558865070343, 0.9242576956748962, 0.9232611060142517, 0.9224978089332581, 0.9219131469726562, 0.9214653372764587]}",5.428,2.3237,11.0164,5.3425
"{'ee_softmax_threshold': [0.9789337515830994, 0.9627984762191772, 0.950439989566803, 0.940974235534668, 0.9337241053581238, 0.9281710386276245, 0.9239177703857422, 0.9206600189208984, 0.918164849281311, 0.9162537455558777, 0.9147899150848389, 0.9136687517166138, 0.9128100275993347, 0.9121522903442383, 0.9116485118865967]}",5.5395,2.3932,10.8942,5.3782
"{'ee_softmax_threshold': [0.976593017578125, 0.9586649537086487, 0.944933295249939, 0.9344157576560974, 0.9263600707054138, 0.9201899766921997, 0.9154641628265381, 0.9118444919586182, 0.9090720415115356, 0.9069485664367676, 0.9053221344947815, 0.9040763974189758, 0.9031222462654114, 0.9023914337158203, 0.9018316864967346]}",5.51,2.3847,10.7482,5.446
"{'ee_softmax_threshold': [0.9742523431777954, 0.9545314311981201, 0.939426600933075, 0.9278573393821716, 0.9189960956573486, 0.9122089743614197, 0.907010555267334, 0.9030289053916931, 0.8999792337417603, 0.8976433873176575, 0.8958543539047241, 0.8944840431213379, 0.893434464931488, 0.8926305770874023, 0.8920148611068726]}",5.6383,2.5604,10.5785,5.4822
"{'ee_softmax_threshold': [0.971911609172821, 0.9503978490829468, 0.9339198470115662, 0.9212988018989563, 0.9116320013999939, 0.9042279124259949, 0.8985568881034851, 0.8942132592201233, 0.8908863663673401, 0.8883382081985474, 0.8863864541053772, 0.8848915696144104, 0.8837466239929199, 0.8828696608543396, 0.882197916507721]}",5.7553,2.5307,10.4398,5.513
"{'ee_softmax_threshold': [0.9695708751678467, 0.9462643265724182, 0.9284131526947021, 0.9147403836250305, 0.9042679667472839, 0.8962468504905701, 0.890103280544281, 0.8853976726531982, 0.8817935585975647, 0.8790330290794373, 0.8769186735153198, 0.8752992153167725, 0.8740588426589966, 0.8731088042259216, 0.8723810911178589]}",5.8176,2.4865,10.3376,5.5364
